code,ig_display,loinc_display,loinc_status,overlap,verdict,files
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creatinine [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
2161-8,Creatinine [Mass/volume] in Urine,Creatinine [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
21847-9,Usual occupation Narrative,Usual occupation Narrative,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/profiles/TWHA-WorkExposure.fsh
22322-2,Hepatitis B virus surface Ab [Units/volume] in Serum,Hepatitis B virus surface Ab [Presence] in Serum,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2284-8,Folate [Mass/volume] in Serum or Plasma,Folate [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2324-2,Gamma glutamyltransferase [Enzymatic activity/volume] in Serum or Plasma,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,0.83,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2335-8,Hemoglobin [Presence] in Stool,Hemoglobin [Presence] in Stool from gastrointestinal,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2339-0,Glucose [Mass/volume] in Blood,Glucose [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
2345-7,Glucose [Mass/volume] in Serum or Plasma,Glucose [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
23749-5,Lead [Mass/volume] in Specimen,Lead [Mass/volume] in Specimen,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
24108-3,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
24110-9,Treponema pallidum Ab [Presence] in Serum by Immunoassay,Treponema pallidum Ab [Presence] in Serum by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2428-1,Homocysteine [Moles/volume] in Serum or Plasma,Homocysteine [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
