code,class,ig_display,official_display,component_diff,system_diff,property_diff,method_diff,action,replacement_code,rationale,verified_by,verified_date,lookup_display,lookup_component,lookup_property,lookup_system,lookup_scale,lookup_method,lookup_status,lookup_error
"20627-6","A","Color of Urine","Turbidity [Presence] of Urine Qualitative","true","false","Presence","false","REVIEW","","","","","Turbidity [Presence] of Urine Qualitative","LP19465-1","LP217195-9","LP7681-2","LP7751-3","","ACTIVE",""
"32356-8","C","Yeast [Presence] in Urine sediment","Yeast [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"33218-9","B","Bacteria [#/volume] in Urine sediment by Automated count","Bacteria [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Bacteria [#/area] in Urine sediment by Automated count","LP14082-9","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"33219-7","B","Epithelial cells.squamous [#/volume] in Urine sediment by Automated count","Epithelial cells.squamous [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Epithelial cells.squamous [#/area] in Urine sediment by Automated count","LP70260-2","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"33223-9","B","Hyaline casts [#/volume] in Urine sediment by Automated count","Hyaline casts [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Hyaline casts [#/area] in Urine sediment by Automated count","LP16857-2","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"33342-7","B","Epithelial cells [#/volume] in Urine sediment by Automated count","Epithelial cells [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Epithelial cells [#/area] in Urine sediment by Automated count","LP14043-1","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"43755-8","B","Casts [#/volume] in Urine sediment by Automated count","Casts [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Casts [#/area] in Urine sediment by Automated count","LP14044-9","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"46419-8","B","Erythrocytes [#/volume] in Urine sediment by Automated count","Erythrocytes [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Erythrocytes [#/area] in Urine sediment by Automated count","LP14304-7","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"46702-7","B","Leukocytes [#/volume] in Urine sediment by Automated count","Leukocytes [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Leukocytes [#/area] in Urine sediment by Automated count","LP14419-3","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"50235-1","B","Mucus [#/volume] in Urine sediment by Automated count","Mucus [#/area] in Urine sediment by Automated count","false","false","#/volume","false","REVIEW","","","","","Mucus [#/area] in Urine sediment by Automated count","LP17770-6","LP6835-5","LP7690-3","LP7753-9","LP6141-8","ACTIVE",""
"50551-1","A","Bilirubin [Presence] in Urine by Test strip","Bilirubin.total [Presence] in Urine by Automated test strip","true","false","false","true","REVIEW","","","","","Bilirubin.total [Presence] in Urine by Automated test strip","LP15448-1","LP217195-9","LP7681-2","LP7751-3","LP65527-1","ACTIVE",""
"50555-2","C","Glucose [Presence] in Urine by Test strip","Glucose [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"50558-6","C","Nitrite [Presence] in Urine by Test strip","Nitrite [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","","","","","","","","","",""
